full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
andrepimenta/claude-code-chat,928,928,136,1,1,0,https://github.com/andrepimenta/claude-code-chat
winfunc/opcode,19228,19228,1482,25,25,-1,https://github.com/winfunc/opcode
edmund-io/edmunds-claude-code,673,673,136,8,8,2,https://github.com/edmund-io/edmunds-claude-code
peterkrueck/Claude-Code-Development-Kit,1256,1256,142,2,2,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
centminmod/my-claude-code-setup,1441,1441,133,3,3,0,https://github.com/centminmod/my-claude-code-setup
steipete/claude-code-mcp,958,958,108,2,2,0,https://github.com/steipete/claude-code-mcp
revfactory/claude-code-mastering,727,727,117,2,2,0,https://github.com/revfactory/claude-code-mastering
wasabeef/claude-code-cookbook,877,877,100,2,2,1,https://github.com/wasabeef/claude-code-cookbook
disler/claude-code-hooks-multi-agent-observability,845,845,262,2,2,1,https://github.com/disler/claude-code-hooks-multi-agent-observability
darcyegb/ClaudeCodeAgents,408,408,36,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
Njengah/claude-code-cheat-sheet,1043,1043,124,5,5,0,https://github.com/Njengah/claude-code-cheat-sheet
JessyTsui/Claude-Code-Remote,885,885,96,2,2,0,https://github.com/JessyTsui/Claude-Code-Remote
0xfurai/claude-code-subagents,572,572,114,0,0,0,https://github.com/0xfurai/claude-code-subagents
kn1026/cc,696,696,269,0,0,0,https://github.com/kn1026/cc
opactorai/Claudable,3396,3396,522,7,7,4,https://github.com/opactorai/Claudable
superdesigndev/superdesign,5520,5520,630,8,8,1,https://github.com/superdesigndev/superdesign
ComposioHQ/awesome-claude-skills,7455,7455,834,79,79,7,https://github.com/ComposioHQ/awesome-claude-skills
zed-industries/claude-code-acp,574,574,84,4,4,0,https://github.com/zed-industries/claude-code-acp
Piebald-AI/claude-code-system-prompts,593,593,112,0,0,0,https://github.com/Piebald-AI/claude-code-system-prompts
severity1/claude-code-prompt-improver,979,979,91,5,5,0,https://github.com/severity1/claude-code-prompt-improver
anthropics/claude-agent-sdk-python,3525,3525,462,9,9,3,https://github.com/anthropics/claude-agent-sdk-python
slopus/happy,5156,5156,401,36,36,4,https://github.com/slopus/happy
EnzeD/vibe-coding,2793,2793,455,47,47,32,https://github.com/EnzeD/vibe-coding
EveryInc/compound-engineering-plugin,2779,2779,241,35,35,7,https://github.com/EveryInc/compound-engineering-plugin
ericbuess/claude-code-docs,502,502,80,3,3,-1,https://github.com/ericbuess/claude-code-docs
coleam00/context-engineering-intro,11841,11841,2518,13,13,2,https://github.com/coleam00/context-engineering-intro
greggh/claude-code.nvim,1627,1627,48,3,3,0,https://github.com/greggh/claude-code.nvim
Matt-Dionis/claude-code-configs,564,564,76,-1,-1,0,https://github.com/Matt-Dionis/claude-code-configs
oraios/serena,17220,17220,1189,39,39,0,https://github.com/oraios/serena
lyconear/Claude-Code,2,2,141,0,0,-1,https://github.com/lyconear/Claude-Code
manzaltu/claude-code-ide.el,1189,1189,62,1,1,1,https://github.com/manzaltu/claude-code-ide.el
alirezarezvani/claude-code-tresor,301,301,85,1,1,0,https://github.com/alirezarezvani/claude-code-tresor
catlog22/Claude-Code-Workflow,602,602,62,7,7,2,https://github.com/catlog22/Claude-Code-Workflow
steipete/agent-rules,5317,5317,467,8,8,1,https://github.com/steipete/agent-rules
UfoMiao/zcf,4749,4749,336,16,16,0,https://github.com/UfoMiao/zcf
d-kimuson/claude-code-viewer,689,689,55,3,3,0,https://github.com/d-kimuson/claude-code-viewer
anthropics/claude-agent-sdk-demos,778,778,130,17,17,1,https://github.com/anthropics/claude-agent-sdk-demos
hesreallyhim/a-list-of-claude-code-agents,1079,1079,104,0,0,1,https://github.com/hesreallyhim/a-list-of-claude-code-agents
router-for-me/CLIProxyAPI,2765,2765,424,63,63,17,https://github.com/router-for-me/CLIProxyAPI
gurusup/claude-code-demo,62,62,149,0,0,1,https://github.com/gurusup/claude-code-demo
zsio/claude-code-hub,135,135,104,2,2,1,https://github.com/zsio/claude-code-hub
stretchcloud/claude-code-unified-agents,709,709,67,2,2,0,https://github.com/stretchcloud/claude-code-unified-agents
jeremylongshore/claude-code-plugins-plus,649,649,67,8,8,1,https://github.com/jeremylongshore/claude-code-plugins-plus
Dicklesworthstone/claude_code_agent_farm,596,596,70,1,1,0,https://github.com/Dicklesworthstone/claude_code_agent_farm
iannuttall/claude-agents,1938,1938,259,2,2,0,https://github.com/iannuttall/claude-agents
MadAppGang/claude-code,172,172,17,1,1,0,https://github.com/MadAppGang/claude-code
daaain/claude-code-log,563,563,51,1,1,1,https://github.com/daaain/claude-code-log
IncomeStreamSurfer/claude-code-agents-wizard-v2,294,294,152,1,1,0,https://github.com/IncomeStreamSurfer/claude-code-agents-wizard-v2
disler/claude-code-is-programmable,277,277,89,0,0,1,https://github.com/disler/claude-code-is-programmable
stevemolitor/claude-code.el,546,546,49,1,1,1,https://github.com/stevemolitor/claude-code.el
sst/opencode,39049,39049,3307,277,277,21,https://github.com/sst/opencode
nikivdev/research,4850,4850,567,1,1,0,https://github.com/nikivdev/research
numman-ali/openskills,2602,2602,187,319,319,23,https://github.com/numman-ali/openskills
cexll/myclaude,1235,1235,180,16,16,1,https://github.com/cexll/myclaude
cjo4m06/mcp-shrimp-task-manager,1920,1920,233,-1,-1,0,https://github.com/cjo4m06/mcp-shrimp-task-manager
ericc-ch/copilot-api,1769,1769,303,10,10,2,https://github.com/ericc-ch/copilot-api
BeehiveInnovations/pal-mcp-server,10494,10494,893,20,20,2,https://github.com/BeehiveInnovations/pal-mcp-server
pchalasani/claude-code-tools,549,549,43,1,1,1,https://github.com/pchalasani/claude-code-tools
humanlayer/humanlayer,7920,7920,654,40,40,1,https://github.com/humanlayer/humanlayer
ananddtyagi/claude-code-marketplace,533,533,43,2,2,1,https://github.com/ananddtyagi/claude-code-marketplace
omnara-ai/omnara,2550,2550,183,1,1,0,https://github.com/omnara-ai/omnara
SuperClaude-Org/SuperClaude_Framework,19125,19125,1658,38,38,5,https://github.com/SuperClaude-Org/SuperClaude_Framework
seifghazi/claude-code-proxy,308,308,49,1,1,0,https://github.com/seifghazi/claude-code-proxy
kxn/claude-code-companion,297,297,49,0,0,0,https://github.com/kxn/claude-code-companion
9j/claude-code-mux,410,410,42,0,0,0,https://github.com/9j/claude-code-mux
czlonkowski/n8n-mcp,10808,10808,1989,22,22,2,https://github.com/czlonkowski/n8n-mcp
