full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
andrepimenta/claude-code-chat,927,927,136,1,1,1,https://github.com/andrepimenta/claude-code-chat
winfunc/opcode,19182,19182,1485,51,51,6,https://github.com/winfunc/opcode
centminmod/my-claude-code-setup,1434,1434,133,0,0,0,https://github.com/centminmod/my-claude-code-setup
peterkrueck/Claude-Code-Development-Kit,1251,1251,141,1,1,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
edmund-io/edmunds-claude-code,653,653,133,5,5,1,https://github.com/edmund-io/edmunds-claude-code
steipete/claude-code-mcp,955,955,108,1,1,0,https://github.com/steipete/claude-code-mcp
revfactory/claude-code-mastering,725,725,117,0,0,0,https://github.com/revfactory/claude-code-mastering
wasabeef/claude-code-cookbook,874,874,99,1,1,0,https://github.com/wasabeef/claude-code-cookbook
disler/claude-code-hooks-multi-agent-observability,841,841,261,2,2,2,https://github.com/disler/claude-code-hooks-multi-agent-observability
Njengah/claude-code-cheat-sheet,1035,1035,123,3,3,0,https://github.com/Njengah/claude-code-cheat-sheet
JessyTsui/Claude-Code-Remote,879,879,95,1,1,0,https://github.com/JessyTsui/Claude-Code-Remote
darcyegb/ClaudeCodeAgents,406,406,35,1,1,1,https://github.com/darcyegb/ClaudeCodeAgents
0xfurai/claude-code-subagents,570,570,114,1,1,0,https://github.com/0xfurai/claude-code-subagents
kn1026/cc,696,696,269,0,0,0,https://github.com/kn1026/cc
opactorai/Claudable,3383,3383,518,7,7,3,https://github.com/opactorai/Claudable
superdesigndev/superdesign,5501,5501,627,15,15,2,https://github.com/superdesigndev/superdesign
ComposioHQ/awesome-claude-skills,7321,7321,822,76,76,7,https://github.com/ComposioHQ/awesome-claude-skills
zed-industries/claude-code-acp,569,569,84,5,5,0,https://github.com/zed-industries/claude-code-acp
severity1/claude-code-prompt-improver,970,970,91,0,0,0,https://github.com/severity1/claude-code-prompt-improver
anthropics/claude-agent-sdk-python,3511,3511,457,14,14,1,https://github.com/anthropics/claude-agent-sdk-python
slopus/happy,5072,5072,392,33,33,3,https://github.com/slopus/happy
coleam00/context-engineering-intro,11816,11816,2516,6,6,3,https://github.com/coleam00/context-engineering-intro
ericbuess/claude-code-docs,499,499,80,1,1,0,https://github.com/ericbuess/claude-code-docs
Matt-Dionis/claude-code-configs,565,565,76,0,0,0,https://github.com/Matt-Dionis/claude-code-configs
greggh/claude-code.nvim,1621,1621,48,3,3,0,https://github.com/greggh/claude-code.nvim
EveryInc/compound-engineering-plugin,2720,2720,231,14,14,3,https://github.com/EveryInc/compound-engineering-plugin
oraios/serena,17150,17150,1186,41,41,4,https://github.com/oraios/serena
EnzeD/vibe-coding,2674,2674,395,175,175,71,https://github.com/EnzeD/vibe-coding
steipete/agent-rules,5299,5299,466,3,3,0,https://github.com/steipete/agent-rules
lyconear/Claude-Code,2,2,142,0,0,0,https://github.com/lyconear/Claude-Code
alirezarezvani/claude-code-tresor,296,296,84,4,4,0,https://github.com/alirezarezvani/claude-code-tresor
manzaltu/claude-code-ide.el,1187,1187,61,0,0,1,https://github.com/manzaltu/claude-code-ide.el
catlog22/Claude-Code-Workflow,586,586,60,9,9,1,https://github.com/catlog22/Claude-Code-Workflow
UfoMiao/zcf,4725,4725,335,15,15,-1,https://github.com/UfoMiao/zcf
d-kimuson/claude-code-viewer,683,683,55,1,1,0,https://github.com/d-kimuson/claude-code-viewer
hesreallyhim/a-list-of-claude-code-agents,1079,1079,103,1,1,0,https://github.com/hesreallyhim/a-list-of-claude-code-agents
gurusup/claude-code-demo,61,61,147,1,1,0,https://github.com/gurusup/claude-code-demo
anthropics/claude-agent-sdk-demos,754,754,127,5,5,1,https://github.com/anthropics/claude-agent-sdk-demos
stretchcloud/claude-code-unified-agents,707,707,67,0,0,0,https://github.com/stretchcloud/claude-code-unified-agents
Dicklesworthstone/claude_code_agent_farm,594,594,70,3,3,0,https://github.com/Dicklesworthstone/claude_code_agent_farm
router-for-me/CLIProxyAPI,2657,2657,399,52,52,9,https://github.com/router-for-me/CLIProxyAPI
jeremylongshore/claude-code-plugins-plus,641,641,66,5,5,0,https://github.com/jeremylongshore/claude-code-plugins-plus
zsio/claude-code-hub,133,133,100,0,0,2,https://github.com/zsio/claude-code-hub
IncomeStreamSurfer/claude-code-agents-wizard-v2,292,292,152,1,1,0,https://github.com/IncomeStreamSurfer/claude-code-agents-wizard-v2
iannuttall/claude-agents,1936,1936,259,1,1,0,https://github.com/iannuttall/claude-agents
daaain/claude-code-log,561,561,50,2,2,0,https://github.com/daaain/claude-code-log
MadAppGang/claude-code,171,171,17,3,3,0,https://github.com/MadAppGang/claude-code
disler/claude-code-is-programmable,277,277,88,0,0,0,https://github.com/disler/claude-code-is-programmable
sst/opencode,38556,38556,3263,189,189,31,https://github.com/sst/opencode
stevemolitor/claude-code.el,545,545,48,-1,-1,0,https://github.com/stevemolitor/claude-code.el
cjo4m06/mcp-shrimp-task-manager,1919,1919,233,3,3,0,https://github.com/cjo4m06/mcp-shrimp-task-manager
nikivdev/research,4849,4849,567,0,0,0,https://github.com/nikivdev/research
ericc-ch/copilot-api,1754,1754,301,9,9,3,https://github.com/ericc-ch/copilot-api
cexll/myclaude,1203,1203,180,9,9,1,https://github.com/cexll/myclaude
BeehiveInnovations/pal-mcp-server,10463,10463,889,19,19,0,https://github.com/BeehiveInnovations/pal-mcp-server
numman-ali/openskills,2143,2143,157,20,20,2,https://github.com/numman-ali/openskills
humanlayer/humanlayer,7833,7833,649,54,54,11,https://github.com/humanlayer/humanlayer
omnara-ai/omnara,2546,2546,184,1,1,0,https://github.com/omnara-ai/omnara
pchalasani/claude-code-tools,547,547,42,5,5,1,https://github.com/pchalasani/claude-code-tools
ananddtyagi/claude-code-marketplace,528,528,42,1,1,0,https://github.com/ananddtyagi/claude-code-marketplace
SuperClaude-Org/SuperClaude_Framework,19065,19065,1650,42,42,3,https://github.com/SuperClaude-Org/SuperClaude_Framework
kxn/claude-code-companion,297,297,49,0,0,0,https://github.com/kxn/claude-code-companion
seifghazi/claude-code-proxy,306,306,49,1,1,0,https://github.com/seifghazi/claude-code-proxy
vijaythecoder/awesome-claude-agents,3549,3549,431,4,4,0,https://github.com/vijaythecoder/awesome-claude-agents
czlonkowski/n8n-mcp,10764,10764,1984,20,20,7,https://github.com/czlonkowski/n8n-mcp
9j/claude-code-mux,406,406,40,0,0,0,https://github.com/9j/claude-code-mux
